metric,bin,left,right,count
chronic,23,0.2972813406,0.3099092125,211
chronic,24,0.3099092125,0.3225370843,156
chronic,25,0.3225370843,0.3351649562,166
chronic,26,0.3351649562,0.3477928280,148
chronic,27,0.3477928280,0.3604206998,139
chronic,28,0.3604206998,0.3730485717,139
chronic,29,0.3730485717,0.3856764435,105
chronic,30,0.3856764435,0.3983043154,95
chronic,31,0.3983043154,0.4109321872,87
chronic,32,0.4109321872,0.4235600591,77
chronic,33,0.4235600591,0.4361879309,70
chronic,34,0.4361879309,0.4488158028,69
chronic,35,0.4488158028,0.4614436746,53
chronic,36,0.4614436746,0.4740715465,68
chronic,37,0.4740715465,0.4866994183,47
chronic,38,0.4866994183,0.4993272901,48
chronic,39,0.4993272901,0.5119551620,43
chronic,40,0.5119551620,0.5245830338,28
chronic,41,0.5245830338,0.5372109057,31
chronic,42,0.5372109057,0.5498387775,35
chronic,43,0.5498387775,0.5624666494,32
chronic,44,0.5624666494,0.5750945212,20
chronic,45,0.5750945212,0.5877223931,18
chronic,46,0.5877223931,0.6003502649,18
chronic,47,0.6003502649,0.6129781367,17
chronic,48,0.6129781367,0.6256060086,27
chronic,49,0.6256060086,0.6382338804,10
chronic,50,0.6382338804,0.6508617523,15
chronic,51,0.6508617523,0.6634896241,8
chronic,52,0.6634896241,0.6761174960,5
chronic,53,0.6761174960,0.6887453678,10
chronic,54,0.6887453678,0.7013732397,8
chronic,55,0.7013732397,0.7140011115,9
chronic,56,0.7140011115,0.7266289834,7
chronic,57,0.7266289834,0.7392568552,4
chronic,58,0.7392568552,0.7518847270,4
chronic,59,0.7518847270,0.7645125989,6
chronic,60,0.7645125989,0.7771404707,6
chronic,61,0.7771404707,0.7897683426,4
chronic,62,0.7897683426,0.8023962144,1
chronic,63,0.8023962144,0.8150240863,8
chronic,64,0.8150240863,0.8276519581,2
chronic,65,0.8276519581,0.8402798300,1
chronic,66,0.8402798300,0.8529077018,1
chronic,67,0.8529077018,0.8655355736,1
chronic,68,0.8655355736,0.8781634455,0
chronic,69,0.8781634455,0.8907913173,1
aud,0,0.0000000000,1.1215703728,13099
aud,1,1.1215703728,2.2431407455,965
aud,2,2.2431407455,3.3647111183,759
aud,3,3.3647111183,4.4862814910,650
aud,4,4.4862814910,5.6078518638,578
aud,5,5.6078518638,6.7294222365,492
aud,6,6.7294222365,7.8509926093,399
aud,7,7.8509926093,8.9725629820,339
aud,8,8.9725629820,10.0941333548,317
aud,9,10.0941333548,11.2157037275,295
aud,10,11.2157037275,12.3372741003,239
aud,11,12.3372741003,13.4588444730,215
aud,12,13.4588444730,14.5804148458,168
aud,13,14.5804148458,15.7019852185,161
aud,14,15.7019852185,16.8235555913,156
aud,15,16.8235555913,17.9451259640,112
aud,16,17.9451259640,19.0666963368,97
aud,17,19.0666963368,20.1882667095,89
aud,18,20.1882667095,21.3098370823,79
aud,19,21.3098370823,22.4314074550,76
aud,20,22.4314074550,23.5529778278,78
aud,21,23.5529778278,24.6745482005,75
aud,22,24.6745482005,25.7961185733,59
aud,23,25.7961185733,26.9176889460,50
aud,24,26.9176889460,28.0392593188,44
aud,25,28.0392593188,29.1608296915,46
aud,26,29.1608296915,30.2824000643,38
aud,27,30.2824000643,31.4039704370,35
aud,28,31.4039704370,32.5255408098,30
aud,29,32.5255408098,33.6471111825,19
aud,30,33.6471111825,34.7686815553,29
aud,31,34.7686815553,35.8902519280,18
aud,32,35.8902519280,37.0118223008,19
aud,33,37.0118223008,38.1333926736,22
aud,34,38.1333926736,39.2549630463,18
aud,35,39.2549630463,40.3765334191,17
aud,36,40.3765334191,41.4981037918,8
aud,37,41.4981037918,42.6196741646,14
aud,38,42.6196741646,43.7412445373,10
aud,39,43.7412445373,44.8628149101,9
aud,40,44.8628149101,45.9843852828,10
aud,41,45.9843852828,47.1059556556,8
aud,42,47.1059556556,48.2275260283,4
aud,43,48.2275260283,49.3490964011,7
aud,44,49.3490964011,50.4706667738,5
aud,45,50.4706667738,51.5922371466,6
aud,46,51.5922371466,52.7138075193,4
aud,47,52.7138075193,53.8353778921,3
aud,48,53.8353778921,54.9569482648,2
aud,49,54.9569482648,56.0785186376,4
aud,50,56.0785186376,57.2000890103,5
aud,51,57.2000890103,58.3216593831,2
aud,52,58.3216593831,59.4432297558,0
aud,53,59.4432297558,60.5648001286,3
aud,54,60.5648001286,61.6863705013,4
aud,55,61.6863705013,62.8079408741,1
aud,56,62.8079408741,63.9295112468,0
aud,57,63.9295112468,65.0510816196,2
aud,58,65.0510816196,66.1726519923,2
aud,59,66.1726519923,67.2942223651,1
aud,60,67.2942223651,68.4157927378,1
aud,61,68.4157927378,69.5373631106,0
aud,62,69.5373631106,70.6589334833,0
aud,63,70.6589334833,71.7805038561,1
aud,64,71.7805038561,72.9020742288,0
aud,65,72.9020742288,74.0236446016,1
aud,66,74.0236446016,75.1452149744,0
aud,67,75.1452149744,76.2667853471,0
aud,68,76.2667853471,77.3883557199,0
aud,69,77.3883557199,78.5099260926,1
ihd,0,-0.2003207547,-0.1974590296,28
ihd,1,-0.1974590296,-0.1945973046,0
ihd,2,-0.1945973046,-0.1917355795,0
ihd,3,-0.1917355795,-0.1888738544,0
ihd,4,-0.1888738544,-0.1860121294,0
ihd,5,-0.1860121294,-0.1831504043,0
ihd,6,-0.1831504043,-0.1802886792,0
ihd,7,-0.1802886792,-0.1774269542,0
ihd,8,-0.1774269542,-0.1745652291,37
ihd,9,-0.1745652291,-0.1717035040,0
ihd,10,-0.1717035040,-0.1688417790,0
ihd,11,-0.1688417790,-0.1659800539,0
ihd,12,-0.1659800539,-0.1631183288,0
ihd,13,-0.1631183288,-0.1602566038,0
ihd,14,-0.1602566038,-0.1573948787,0
ihd,15,-0.1573948787,-0.1545331536,0
ihd,16,-0.1545331536,-0.1516714286,0
ihd,17,-0.1516714286,-0.1488097035,62
ihd,18,-0.1488097035,-0.1459479784,0
ihd,19,-0.1459479784,-0.1430862534,0
ihd,20,-0.1430862534,-0.1402245283,0
ihd,21,-0.1402245283,-0.1373628032,0
ihd,22,-0.1373628032,-0.1345010782,0
ihd,23,-0.1345010782,-0.1316393531,0
ihd,24,-0.1316393531,-0.1287776280,34
ihd,25,-0.1287776280,-0.1259159030,0
ihd,26,-0.1259159030,-0.1230541779,31
ihd,27,-0.1230541779,-0.1201924528,0
ihd,28,-0.1201924528,-0.1173307278,0
ihd,29,-0.1173307278,-0.1144690027,0
ihd,30,-0.1144690027,-0.1116072776,45
ihd,31,-0.1116072776,-0.1087455526,0
ihd,32,-0.1087455526,-0.1058838275,0
ihd,33,-0.1058838275,-0.1030221024,0
ihd,34,-0.1030221024,-0.1001603774,0
ihd,35,-0.1001603774,-0.0972986523,74
ihd,36,-0.0972986523,-0.0944369272,0
ihd,37,-0.0944369272,-0.0915752022,25
ihd,38,-0.0915752022,-0.0887134771,0
ihd,39,-0.0887134771,-0.0858517520,74
ihd,40,-0.0858517520,-0.0829900270,0
ihd,41,-0.0829900270,-0.0801283019,0
ihd,42,-0.0801283019,-0.0772665768,0
ihd,43,-0.0772665768,-0.0744048518,83
ihd,44,-0.0744048518,-0.0715431267,0
ihd,45,-0.0715431267,-0.0686814016,0
ihd,46,-0.0686814016,-0.0658196765,34
ihd,47,-0.0658196765,-0.0629579515,47
ihd,48,-0.0629579515,-0.0600962264,59
ihd,49,-0.0600962264,-0.0572345013,28
ihd,50,-0.0572345013,-0.0543727763,31
ihd,51,-0.0543727763,-0.0515110512,0
ihd,52,-0.0515110512,-0.0486493261,131
ihd,53,-0.0486493261,-0.0457876011,30
ihd,54,-0.0457876011,-0.0429258760,115
ihd,55,-0.0429258760,-0.0400641509,40
ihd,56,-0.0400641509,-0.0372024259,115
ihd,57,-0.0372024259,-0.0343407008,0
ihd,58,-0.0343407008,-0.0314789757,107
ihd,59,-0.0314789757,-0.0286172507,227
ihd,60,-0.0286172507,-0.0257555256,0
ihd,61,-0.0257555256,-0.0228938005,200
ihd,62,-0.0228938005,-0.0200320755,208
ihd,63,-0.0200320755,-0.0171703504,112
ihd,64,-0.0171703504,-0.0143086253,323
ihd,65,-0.0143086253,-0.0114469003,98
ihd,66,-0.0114469003,-0.0085851752,176
ihd,67,-0.0085851752,-0.0057234501,363
ihd,68,-0.0057234501,-0.0028617251,250
ihd,69,-0.0028617251,0.0000000000,16813
