metric,bin,left,right,count
chronic,68,0.9182613470,0.9316616252,0
chronic,69,0.9316616252,0.9450619034,1
aud,0,0.0000000000,0.8401098819,15699
aud,1,0.8401098819,1.6802197638,876
aud,2,1.6802197638,2.5203296457,586
aud,3,2.5203296457,3.3604395276,442
aud,4,3.3604395276,4.2005494095,354
aud,5,4.2005494095,5.0406592914,288
aud,6,5.0406592914,5.8807691733,251
aud,7,5.8807691733,6.7208790552,217
aud,8,6.7208790552,7.5609889371,159
aud,9,7.5609889371,8.4010988191,139
aud,10,8.4010988191,9.2412087010,112
aud,11,9.2412087010,10.0813185829,90
aud,12,10.0813185829,10.9214284648,95
aud,13,10.9214284648,11.7615383467,90
aud,14,11.7615383467,12.6016482286,71
aud,15,12.6016482286,13.4417581105,67
aud,16,13.4417581105,14.2818679924,57
aud,17,14.2818679924,15.1219778743,44
aud,18,15.1219778743,15.9620877562,37
aud,19,15.9620877562,16.8021976381,25
aud,20,16.8021976381,17.6423075200,28
aud,21,17.6423075200,18.4824174019,23
aud,22,18.4824174019,19.3225272838,25
aud,23,19.3225272838,20.1626371657,13
aud,24,20.1626371657,21.0027470476,19
aud,25,21.0027470476,21.8428569295,18
aud,26,21.8428569295,22.6829668114,28
aud,27,22.6829668114,23.5230766933,16
aud,28,23.5230766933,24.3631865753,14
aud,29,24.3631865753,25.2032964572,11
aud,30,25.2032964572,26.0434063391,10
aud,31,26.0434063391,26.8835162210,11
aud,32,26.8835162210,27.7236261029,4
aud,33,27.7236261029,28.5637359848,11
aud,34,28.5637359848,29.4038458667,5
aud,35,29.4038458667,30.2439557486,6
aud,36,30.2439557486,31.0840656305,3
aud,37,31.0840656305,31.9241755124,2
aud,38,31.9241755124,32.7642853943,3
aud,39,32.7642853943,33.6043952762,5
aud,40,33.6043952762,34.4445051581,7
aud,41,34.4445051581,35.2846150400,4
aud,42,35.2846150400,36.1247249219,2
aud,43,36.1247249219,36.9648348038,2
aud,44,36.9648348038,37.8049446857,2
aud,45,37.8049446857,38.6450545676,3
aud,46,38.6450545676,39.4851644495,1
aud,47,39.4851644495,40.3252743315,2
aud,48,40.3252743315,41.1653842134,2
aud,49,41.1653842134,42.0054940953,2
aud,50,42.0054940953,42.8456039772,4
aud,51,42.8456039772,43.6857138591,1
aud,52,43.6857138591,44.5258237410,1
aud,53,44.5258237410,45.3659336229,2
aud,54,45.3659336229,46.2060435048,0
aud,55,46.2060435048,47.0461533867,0
aud,56,47.0461533867,47.8862632686,1
aud,57,47.8862632686,48.7263731505,0
aud,58,48.7263731505,49.5664830324,3
aud,59,49.5664830324,50.4065929143,2
aud,60,50.4065929143,51.2467027962,2
aud,61,51.2467027962,52.0868126781,2
aud,62,52.0868126781,52.9269225600,0
aud,63,52.9269225600,53.7670324419,0
aud,64,53.7670324419,54.6071423238,0
aud,65,54.6071423238,55.4472522057,0
aud,66,55.4472522057,56.2873620877,0
aud,67,56.2873620877,57.1274719696,0
aud,68,57.1274719696,57.9675818515,0
aud,69,57.9675818515,58.8076917334,1
ihd,0,-0.2003207547,-0.1974590296,56
ihd,1,-0.1974590296,-0.1945973046,0
ihd,2,-0.1945973046,-0.1917355795,0
ihd,3,-0.1917355795,-0.1888738544,0
ihd,4,-0.1888738544,-0.1860121294,0
ihd,5,-0.1860121294,-0.1831504043,0
ihd,6,-0.1831504043,-0.1802886792,0
ihd,7,-0.1802886792,-0.1774269542,0
ihd,8,-0.1774269542,-0.1745652291,72
ihd,9,-0.1745652291,-0.1717035040,0
ihd,10,-0.1717035040,-0.1688417790,0
ihd,11,-0.1688417790,-0.1659800539,0
ihd,12,-0.1659800539,-0.1631183288,0
ihd,13,-0.1631183288,-0.1602566038,0
ihd,14,-0.1602566038,-0.1573948787,0
ihd,15,-0.1573948787,-0.1545331536,0
ihd,16,-0.1545331536,-0.1516714286,0
ihd,17,-0.1516714286,-0.1488097035,135
ihd,18,-0.1488097035,-0.1459479784,0
ihd,19,-0.1459479784,-0.1430862534,0
ihd,20,-0.1430862534,-0.1402245283,0
ihd,21,-0.1402245283,-0.1373628032,0
ihd,22,-0.1373628032,-0.1345010782,0
ihd,23,-0.1345010782,-0.1316393531,0
ihd,24,-0.1316393531,-0.1287776280,56
ihd,25,-0.1287776280,-0.1259159030,0
ihd,26,-0.1259159030,-0.1230541779,72
ihd,27,-0.1230541779,-0.1201924528,0
ihd,28,-0.1201924528,-0.1173307278,0
ihd,29,-0.1173307278,-0.1144690027,0
ihd,30,-0.1144690027,-0.1116072776,70
ihd,31,-0.1116072776,-0.1087455526,0
ihd,32,-0.1087455526,-0.1058838275,0
ihd,33,-0.1058838275,-0.1030221024,0
ihd,34,-0.1030221024,-0.1001603774,0
ihd,35,-0.1001603774,-0.0972986523,127
ihd,36,-0.0972986523,-0.0944369272,0
ihd,37,-0.0944369272,-0.0915752022,67
ihd,38,-0.0915752022,-0.0887134771,0
ihd,39,-0.0887134771,-0.0858517520,148
ihd,40,-0.0858517520,-0.0829900270,0
ihd,41,-0.0829900270,-0.0801283019,0
ihd,42,-0.0801283019,-0.0772665768,0
ihd,43,-0.0772665768,-0.0744048518,229
ihd,44,-0.0744048518,-0.0715431267,0
ihd,45,-0.0715431267,-0.0686814016,0
ihd,46,-0.0686814016,-0.0658196765,71
ihd,47,-0.0658196765,-0.0629579515,78
ihd,48,-0.0629579515,-0.0600962264,122
ihd,49,-0.0600962264,-0.0572345013,66
ihd,50,-0.0572345013,-0.0543727763,62
ihd,51,-0.0543727763,-0.0515110512,0
ihd,52,-0.0515110512,-0.0486493261,291
ihd,53,-0.0486493261,-0.0457876011,71
ihd,54,-0.0457876011,-0.0429258760,225
ihd,55,-0.0429258760,-0.0400641509,65
ihd,56,-0.0400641509,-0.0372024259,221
ihd,57,-0.0372024259,-0.0343407008,0
ihd,58,-0.0343407008,-0.0314789757,242
ihd,59,-0.0314789757,-0.0286172507,385
ihd,60,-0.0286172507,-0.0257555256,0
ihd,61,-0.0257555256,-0.0228938005,418
ihd,62,-0.0228938005,-0.0200320755,391
ihd,63,-0.0200320755,-0.0171703504,223
ihd,64,-0.0171703504,-0.0143086253,607
ihd,65,-0.0143086253,-0.0114469003,222
ihd,66,-0.0114469003,-0.0085851752,374
ihd,67,-0.0085851752,-0.0057234501,795
ihd,68,-0.0057234501,-0.0028617251,462
ihd,69,-0.0028617251,0.0000000000,13577
