metric,bin,left,right,count
ihd,14,-0.1602566038,-0.1573948787,0
ihd,15,-0.1573948787,-0.1545331536,0
ihd,16,-0.1545331536,-0.1516714286,0
ihd,17,-0.1516714286,-0.1488097035,143
ihd,18,-0.1488097035,-0.1459479784,0
ihd,19,-0.1459479784,-0.1430862534,0
ihd,20,-0.1430862534,-0.1402245283,0
ihd,21,-0.1402245283,-0.1373628032,0
ihd,22,-0.1373628032,-0.1345010782,0
ihd,23,-0.1345010782,-0.1316393531,0
ihd,24,-0.1316393531,-0.1287776280,66
ihd,25,-0.1287776280,-0.1259159030,0
ihd,26,-0.1259159030,-0.1230541779,71
ihd,27,-0.1230541779,-0.1201924528,0
ihd,28,-0.1201924528,-0.1173307278,0
ihd,29,-0.1173307278,-0.1144690027,0
ihd,30,-0.1144690027,-0.1116072776,72
ihd,31,-0.1116072776,-0.1087455526,0
ihd,32,-0.1087455526,-0.1058838275,0
ihd,33,-0.1058838275,-0.1030221024,0
ihd,34,-0.1030221024,-0.1001603774,0
ihd,35,-0.1001603774,-0.0972986523,131
ihd,36,-0.0972986523,-0.0944369272,0
ihd,37,-0.0944369272,-0.0915752022,57
ihd,38,-0.0915752022,-0.0887134771,0
ihd,39,-0.0887134771,-0.0858517520,135
ihd,40,-0.0858517520,-0.0829900270,0
ihd,41,-0.0829900270,-0.0801283019,0
ihd,42,-0.0801283019,-0.0772665768,0
ihd,43,-0.0772665768,-0.0744048518,219
ihd,44,-0.0744048518,-0.0715431267,0
ihd,45,-0.0715431267,-0.0686814016,0
ihd,46,-0.0686814016,-0.0658196765,69
ihd,47,-0.0658196765,-0.0629579515,77
ihd,48,-0.0629579515,-0.0600962264,122
ihd,49,-0.0600962264,-0.0572345013,63
ihd,50,-0.0572345013,-0.0543727763,75
ihd,51,-0.0543727763,-0.0515110512,0
ihd,52,-0.0515110512,-0.0486493261,253
ihd,53,-0.0486493261,-0.0457876011,74
ihd,54,-0.0457876011,-0.0429258760,225
ihd,55,-0.0429258760,-0.0400641509,63
ihd,56,-0.0400641509,-0.0372024259,201
ihd,57,-0.0372024259,-0.0343407008,0
ihd,58,-0.0343407008,-0.0314789757,195
ihd,59,-0.0314789757,-0.0286172507,403
ihd,60,-0.0286172507,-0.0257555256,0
ihd,61,-0.0257555256,-0.0228938005,411
ihd,62,-0.0228938005,-0.0200320755,439
ihd,63,-0.0200320755,-0.0171703504,213
ihd,64,-0.0171703504,-0.0143086253,640
ihd,65,-0.0143086253,-0.0114469003,210
ihd,66,-0.0114469003,-0.0085851752,341
ihd,67,-0.0085851752,-0.0057234501,765
ihd,68,-0.0057234501,-0.0028617251,483
ihd,69,-0.0028617251,0.0000000000,13652
